Date,4 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,COUPON EQUIVALENT
1/3/2011,0.1,0.1,N/A,N/A,0.15,0.15,N/A,N/A,0.19,0.19,0.27,0.27
1/4/2011,0.12,0.12,N/A,N/A,0.14,0.14,N/A,N/A,0.19,0.19,0.26,0.26
1/5/2011,0.13,0.13,N/A,N/A,0.14,0.14,N/A,N/A,0.19,0.19,0.29,0.29
1/6/2011,0.13,0.13,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.28,0.28
1/7/2011,0.13,0.13,N/A,N/A,0.14,0.14,N/A,N/A,0.18,0.18,0.27,0.27
1/10/2011,0.14,0.14,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.27,0.27
1/11/2011,0.15,0.15,N/A,N/A,0.15,0.15,N/A,N/A,0.19,0.19,0.28,0.28
1/12/2011,0.15,0.15,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.26,0.26
1/13/2011,0.15,0.15,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.26,0.26
1/14/2011,0.14,0.14,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.26,0.26
1/18/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.19,0.19,0.25,0.25
1/19/2011,0.16,0.16,N/A,N/A,0.16,0.16,N/A,N/A,0.19,0.19,0.26,0.26
1/20/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.19,0.19,0.26,0.26
1/21/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.19,0.19,0.26,0.26
1/24/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.18,0.18,0.27,0.27
1/25/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.18,0.18,0.26,0.26
1/26/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.18,0.18,0.26,0.26
1/27/2011,0.13,0.13,N/A,N/A,0.15,0.15,N/A,N/A,0.17,0.17,0.24,0.24
1/28/2011,0.13,0.13,N/A,N/A,0.15,0.15,N/A,N/A,0.15,0.15,0.23,0.23
1/31/2011,0.15,0.15,N/A,N/A,0.15,0.15,N/A,N/A,0.17,0.17,0.24,0.24
2/1/2011,0.16,0.16,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.25,0.25
2/2/2011,0.15,0.15,N/A,N/A,0.16,0.16,N/A,N/A,0.18,0.18,0.26,0.26
2/3/2011,0.14,0.14,N/A,N/A,0.14,0.14,N/A,N/A,0.18,0.18,0.27,0.27
2/4/2011,0.13,0.13,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.28,0.28
2/7/2011,0.13,0.13,N/A,N/A,0.16,0.16,N/A,N/A,0.18,0.18,0.28,0.28
2/8/2011,0.14,0.14,N/A,N/A,0.15,0.15,N/A,N/A,0.18,0.18,0.31,0.32
2/9/2011,0.11,0.11,N/A,N/A,0.14,0.14,N/A,N/A,0.18,0.18,0.3,0.3
2/10/2011,0.08,0.08,N/A,N/A,0.12,0.12,N/A,N/A,0.16,0.16,0.29,0.29
2/11/2011,0.08,0.08,N/A,N/A,0.12,0.12,N/A,N/A,0.16,0.16,0.29,0.29
2/14/2011,0.09,0.09,N/A,N/A,0.13,0.13,N/A,N/A,0.17,0.17,0.29,0.29
2/15/2011,0.11,0.11,N/A,N/A,0.13,0.13,N/A,N/A,0.17,0.17,0.29,0.29
2/16/2011,0.1,0.1,N/A,N/A,0.12,0.12,N/A,N/A,0.16,0.16,0.28,0.28
2/17/2011,0.08,0.08,N/A,N/A,0.09,0.09,N/A,N/A,0.15,0.15,0.26,0.26
2/18/2011,0.08,0.08,N/A,N/A,0.1,0.1,N/A,N/A,0.15,0.15,0.27,0.27
2/22/2011,0.1,0.1,N/A,N/A,0.12,0.12,N/A,N/A,0.16,0.16,0.26,0.26
